lat,lon
-31.707145782009594,117.93217515618858
-28.329672540885944,151.22036047609515
-25.928872392863834,113.60394829190939
-25.322076194843053,130.98573178792773
-13.005327492247622,132.51971160648688
-18.572708755305293,148.5182854442183
-17.35365834416364,145.6500893926031
-31.55620182946052,159.0798538676491
-31.625277219485394,159.16748601567076
-25.26034255582986,153.14140559383142
-19.033452487380902,138.63269166213334
-37.05999493707426,140.80983550741269
-33.61814205733435,143.10140572654294
-33.285614086254505,150.4698248473003
-17.44848058756419,128.54654691026033
-54.73192502948872,158.83051354393118
-54.628345500688326,158.86451578346274
-30.070117352997297,152.3341886779205
-53.05188304962564,73.2718504509829
-53.093540206487596,73.51699155496136
-37.80421538923343,144.97158747472741
-37.804690813001656,144.97150695751287
-33.85748372540071,151.21479704803596
-33.85533522527176,151.21960084515712
-22.551116939172434,113.80104797990747
-41.62748432848078,147.1325456599851
-41.62167631303521,147.138805608049
-42.89348842542604,147.29843804148763
-42.893809361436865,147.2992481199477
-42.982657832525355,147.71803871643635
-42.98368462932944,147.71645903578053
-33.84771897762582,151.1721393202616
-33.84766779714047,151.17211447692284
-42.588781379850936,148.07354036863128
-42.581811606323875,148.0700578147352
-32.05656909181093,115.75204631372561
-32.0549993376375,115.7535490910028
-33.86990859919884,151.2119895275592
-33.86955311763105,151.2127358549538
-29.05340007032841,167.95880425877155
-33.80878297635023,150.99585656025366
-33.80964688572564,150.99640069181515
-33.37361801320374,150.9928391949319
-33.37867218418683,150.99461633895552
-43.15841019351325,147.84276739536378
-43.150830720325956,147.85456000481838
-42.621250498912474,146.1840638744996
-17.369451867895304,128.3839119829896
